Date,Open,High,Low,Close,Volume
10/23/91,0.4911,0.4933,0.471,0.4743,168828800
10/24/91,0.4732,0.4754,0.4598,0.4654,177900800
10/25/91,0.4621,0.4665,0.4531,0.4576,106971200
10/28/91,0.4598,0.4621,0.4531,0.4598,77862400
10/29/91,0.4598,0.4643,0.4531,0.4621,101236800
10/30/91,0.4643,0.471,0.442,0.4442,148243200
10/31/91,0.4531,0.4621,0.4464,0.4598,231806400
11/1/91,0.4576,0.4643,0.4509,0.4554,201264000
11/4/91,0.4531,0.4531,0.433,0.4442,195294400
11/5/91,0.4442,0.4509,0.4353,0.4353,215600000
11/6/91,0.4375,0.4397,0.4241,0.4286,236790400
11/7/91,0.433,0.4509,0.4308,0.4442,296732800
11/8/91,0.4576,0.4799,0.4554,0.4754,375827200
11/11/91,0.4777,0.4866,0.4754,0.4799,164942400
11/12/91,0.4844,0.4888,0.4799,0.4866,166689600
11/13/91,0.4821,0.4866,0.4777,0.4833,185920000
11/14/91,0.4844,0.4933,0.4821,0.4888,188003200
11/15/91,0.4866,0.4888,0.4442,0.4464,256950400
11/18/91,0.4464,0.4688,0.4464,0.4654,238739200
11/19/91,0.4621,0.4621,0.4442,0.4576,285488000
11/20/91,0.4576,0.4643,0.4487,0.4509,168100800
11/21/91,0.4509,0.4621,0.4509,0.4554,106814400
11/22/91,0.4554,0.4621,0.4487,0.4576,97843200
11/25/91,0.4554,0.4665,0.4554,0.4576,78433600
11/26/91,0.4598,0.4643,0.4464,0.4598,139272000
11/27/91,0.4576,0.4598,0.4509,0.4554,63235200
11/29/91,0.4509,0.4598,0.4509,0.4531,34092800
12/2/91,0.4531,0.4643,0.4464,0.4621,118899200
12/3/91,0.4643,0.4643,0.4487,0.4509,102860800
12/4/91,0.4531,0.4531,0.4464,0.4509,80550400
12/5/91,0.4509,0.4554,0.4397,0.4464,99198400
12/6/91,0.442,0.4442,0.433,0.4353,196985600
12/9/91,0.4375,0.4464,0.4353,0.4386,97832000
12/10/91,0.4375,0.442,0.433,0.4386,122617600
12/11/91,0.4397,0.4442,0.433,0.4375,84560000
12/12/91,0.4408,0.4442,0.4375,0.4408,91750400
12/13/91,0.4442,0.4531,0.4442,0.4498,95121600
12/16/91,0.4498,0.4531,0.4464,0.4509,77190400
12/17/91,0.4509,0.4554,0.4487,0.4509,97843200
12/18/91,0.4487,0.4643,0.4464,0.4621,186603200
12/19/91,0.4576,0.4621,0.4531,0.4531,115326400
12/20/91,0.4576,0.4598,0.4487,0.4487,128184000
12/23/91,0.4509,0.4621,0.4464,0.4598,103163200
12/24/91,0.4643,0.4799,0.4621,0.4665,188563200
12/26/91,0.471,0.4911,0.4665,0.49,134500800
12/27/91,0.4888,0.4978,0.4866,0.4911,167742400
12/30/91,0.4911,0.5112,0.4911,0.5067,183646400
12/31/91,0.5123,0.5179,0.5,0.5033,134030400
